TIMESTAMP,TRIAL,SHOPKEEPER,SPATIAL_STATE,STATE_TARGET,CUSTOMER_TYPE,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,OUTPUT_SPATIAL_STATE,OUTPUT_STATE_TARGET,OUTPUT_CUSTOMER_FROM_MOTION,OUTPUT_CUSTOMER_TO_MOTION,OUTPUT_CUSTOMER_LOCATION,OUTPUT_SHOPKEEPER_FROM_MOTION,OUTPUT_SHOPKEEPER_TO_MOTION,OUTPUT_SHOPKEEPER_LOCATION,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,CLUSTER_ID,IS_BAD_CLUSTER
1435218424,132,PROACTIVE,WAITING,NONE,NOVICE,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,-
1435218438,132,PROACTIVE,WAITING,NONE,NOVICE,SONY,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,good afternoon how can I help today,good afternoon,1;PRESENT_X;CANON,-
1435218455,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,hi the how many colors do you have for this model,colors;model,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this only comes in black dude what were you looking for in a camera,black dude;camera,149;PRESENT_X;CANON,-
1435218474,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,one something that's light and attractive,light,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,I see what sort of pictures do you like to take,sort;pictures,35;PRESENT_X;CANON,-
1435218489,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,for family vacation for example so good lighting and loss of motion I guess,family vacation;good lighting;example;loss;motion,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,your family likes to travel a lot,family,212;PRESENT_X;CANON,-
1435218506,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,do,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,CANON,CANON,NIKON,NIKON,we have a very lightweight camera that also looks very stylish and it has a lot of presets and its various views please come and have a look at this one here,lightweight camera;various views;presets;look,49;PRESENT_X;CANON,-
1435218529,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,IC,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,it's very lightweight and it has 18 preset mode so wherever you go you don't have to think too much about the exposure you can wear at the beach where the snow and you get a great picture every time,preset mode;great picture;exposure;snow;beach;time,90;PRESENT_X;NIKON,-
1435218552,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,that sounds great how much does this cost,cost,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,$68 and it gets very high-resolution photographs to it's right value for the price,right value;photographs;price,107;PRESENT_X;NIKON,-
1435218567,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,how many megapixels,megapixels,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,20.1 megapixels,NO_KEYWORD,247;PRESENT_X;NIKON,-
1435218576,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,that's great thank you for your help,help,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,is there anything else I can help you with today,NO_KEYWORD,14;PRESENT_X;NIKON,-
1435218586,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,Tempe all thank you,Tempe,NONE,NIKON,NONE,NONE,NIKON,NIKON,MIDDLE,MIDDLE,thanks for your time please have a good afternoon,good afternoon;thanks;time,6;PRESENT_X;NIKON,-
1435218646,133,PROACTIVE,WAITING,NONE,ADVANCED,DOOR,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,-
1435218652,133,PROACTIVE,WAITING,NONE,ADVANCED,CANON,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,-
1435218661,133,PROACTIVE,WAITING,NONE,ADVANCED,NIKON,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,NONE,NO_KEYWORD,0;PRESENT_X;CANON,-
1435218664,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,excuse me,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,good afternoon how can I help,good afternoon,1;PRESENT_X;CANON,-
1435218672,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,how does this camera perform on low lighting,low lighting,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this is one of the best cameras we have for low light because of 6400 ISO that's very little noise in the picture and it comes through in a very stable way,best cameras;stable way;low light;noise;ISO;picture,142;PRESENT_X;CANON,-
