INDEX,TIMESTAMP,TRIAL,SHOPKEEPER,SPATIAL_STATE,STATE_TARGET,CUSTOMER_TYPE,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,OUTPUT_SPATIAL_STATE,OUTPUT_STATE_TARGET,OUTPUT_CUSTOMER_FROM_MOTION,OUTPUT_CUSTOMER_TO_MOTION,OUTPUT_CUSTOMER_LOCATION,OUTPUT_SHOPKEEPER_FROM_MOTION,OUTPUT_SHOPKEEPER_TO_MOTION,OUTPUT_SHOPKEEPER_LOCATION,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,CLUSTER_ID_SHOPKEEPER,IS_BAD_CLUSTER_SHOPKEEPER,CLUSTER_ID_CUSTOMER,IS_BAD_CLUSTER_CUSTOMER
0,1435218424,132,PROACTIVE,WAITING,NONE,NOVICE,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
1,1435218438,132,PROACTIVE,WAITING,NONE,NOVICE,SONY,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,good afternoon how can I help today,good afternoon,1;PRESENT_X;CANON,0,1;PRESENT_X;CANON,0
2,1435218455,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,hi the how many colors do you have for this model,colors;model,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this only comes in black dude what were you looking for in a camera,black dude;camera,149;PRESENT_X;CANON,0,149;PRESENT_X;CANON,0
3,1435218474,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,I want something that's light and attractive,light,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,I see what sort of pictures do you like to take,sort;pictures,35;PRESENT_X;CANON,0,35;PRESENT_X;CANON,0
4,1435218489,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,uh for family vacation for example so good lighting and lots of motion I guess,family vacation;uh;good lighting;example;motion,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,your family likes to travel a lot,family,212;PRESENT_X;CANON,0,212;PRESENT_X;CANON,0
5,1435218506,132,PROACTIVE,PRESENT_X,CANON,NOVICE,NONE,NONE,CANON,NONE,NONE,CANON,yes they do,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,CANON,CANON,NIKON,NIKON,we have a very lightweight camera that also looks very stylish and it has a lot of presets and its various views please come and have a look at this one here,lightweight camera;various views;presets;look,49;PRESENT_X;CANON,0,49;PRESENT_X;CANON,0
6,1435218529,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,IC,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,it's very lightweight and it has 18 preset mode so wherever you go you don't have to think too much about the exposure you can wear at the beach where the snow and you get a great picture every time,preset mode;great picture;exposure;snow;beach;time,90;PRESENT_X;NIKON,0,90;PRESENT_X;NIKON,0
7,1435218552,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,that sounds great how much does this cost,cost,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,$68 and it gets very high-resolution photographs to it's right value for the price,right value;photographs;price,107;PRESENT_X;NIKON,0,107;PRESENT_X;NIKON,0
8,1435218567,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,how many megapixels,megapixels,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,20.1 megapixels,NO_KEYWORD,247;PRESENT_X;NIKON,0,247;PRESENT_X;NIKON,0
9,1435218576,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,that's great thank you for your help,help,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,is there anything else I can help you with today,NO_KEYWORD,14;PRESENT_X;NIKON,0,14;PRESENT_X;NIKON,0
10,1435218586,132,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,NONE,NONE,NIKON,that will be all thank you,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NIKON,SERVICE_COUNTER,SERVICE_COUNTER,thanks for your time please have a good afternoon,good afternoon;thanks;time,6;PRESENT_X;NIKON,0,6;PRESENT_X;NIKON,0
11,1435218646,133,PROACTIVE,WAITING,NONE,ADVANCED,DOOR,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
12,1435218652,133,PROACTIVE,WAITING,NONE,ADVANCED,CANON,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
13,1435218661,133,PROACTIVE,WAITING,NONE,ADVANCED,NIKON,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,NONE,NO_KEYWORD,0;PRESENT_X;CANON,0,0;PRESENT_X;CANON,0
14,1435218664,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,excuse me,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,good afternoon how can I help,good afternoon,1;PRESENT_X;CANON,0,1;PRESENT_X;CANON,0
15,1435218672,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,how does this camera perform on low lighting,low lighting,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this is one of the best cameras we have for low light because of 6400 ISO that's very little noise in the picture and it comes through in a very stable way,best cameras;stable way;low light;noise;ISO;picture,142;PRESENT_X;CANON,0,142;PRESENT_X;CANON,0
16,1435218693,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,what about the exposure what can it handle,exposure,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,anything,NO_KEYWORD,2;PRESENT_X;CANON,0,2;PRESENT_X;CANON,0
17,1435218701,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,how much Freedom do you have with this like what what can I set according to my liking,liking;Freedom,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this is a top-end manual camera so really it's limited by your imagination as long as you are able to move your exposure around change your shutter speed or move to a bulb setting you have full control in all circumstances this cover off of that,top-end manual camera;shutter speed;bulb;imagination;circumstances;exposure;change;control;cover,91;PRESENT_X;CANON,0,91;PRESENT_X;CANON,0
18,1435218729,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,that sounds great what about the price,price,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,it is a high end professional camera and you already was selling body only so we would talk about the lens separately the body itself is $2000,professional camera;high end;lens;body,324;PRESENT_X;CANON,0,324;PRESENT_X;CANON,0
19,1435218748,133,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,I see do you have anything in this type that's a little more reasonably priced,type,PRESENT_X,SONY,NONE,NONE,CANON,CANON,SONY,SONY,yes of course you want to come and have a look at the Sony this is sold as a complete camera it's rather cheaper in some ways the performances different because you won't go so aggressively in low-light but at the same time it has a lot of creative control,complete camera;creative control;Sony;course;look;ways;performances;time,257;PRESENT_X;CANON,BAD,257;PRESENT_X;CANON,BAD
20,1435218781,133,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,and how much is this one,NO_KEYWORD,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,$550 for the amount of creative control excellent value for the amount of price point,excellent value;creative control;price point,12;PRESENT_X;SONY,0,12;PRESENT_X;SONY,0
21,1435218793,133,PROACTIVE,PRESENT_X,SONY,ADVANCED,NONE,NONE,SONY,NONE,NONE,SONY,thank you for your help,help,WAITING,NONE,NONE,NONE,SONY,SONY,SERVICE_COUNTER,SERVICE_COUNTER,thank you have a good afternoon,good afternoon,27;PRESENT_X;SONY,0,27;PRESENT_X;SONY,0
22,1435218832,134,PROACTIVE,WAITING,NONE,ADVANCED,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,SONY,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
23,1435218840,134,PROACTIVE,WAITING,NONE,ADVANCED,SONY,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
24,1435218853,134,PROACTIVE,WAITING,NONE,ADVANCED,NIKON,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,good afternoon I can see you have been admiring our cameras,good afternoon;cameras,150;PRESENT_X;CANON,0,150;PRESENT_X;CANON,0
25,1435218869,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,good afternoon can you tell me more about this model,good afternoon;model,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,this is a high-end professional model you can see with selling a body only with talk about the lens separately because the people who buy this are looking for full creative control you can do anything you want photographically with this camera but it does come at a price,high-end professional model;creative control;lens;camera;body;talk;people;price,169;PRESENT_X;CANON,0,169;PRESENT_X;CANON,0
26,1435218893,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,how much does it weight,weight,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,the body alone is about 1 kilograms and then the lens can be anything from half a kilogram up to sky's the limit they also makes some lenses maybe 100 kilograms and some of them have this camera mount,kilograms;camera mount;kilogram;lens;limit;lenses;body;sky,92;PRESENT_X;CANON,0,92;PRESENT_X;CANON,0
27,1435218919,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,I see does it perform well with a lot of motion,motion,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,that's one of its strong points when we moved from film into digital there a lot of problems with trying to catch motion in a natural way in a lot of different things you see sometimes in digital photos have because of that this camera is one of the first to show good natural motion,strong points;different things;natural way;digital photos;motion;camera;film;problems,41;PRESENT_X;CANON,0,41;PRESENT_X;CANON,0
28,1435218956,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,is it equipped with autofocus,autofocus,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,what sort of auto focus do you like it has a number of different ways of handing out of focus and processing information and it works all 61 different points on the sensor for each of those different modes,different modes;auto focus;different ways;different points;sort;sensor;number;information,66;PRESENT_X;CANON,0,66;PRESENT_X;CANON,0
29,1435218978,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,great sounds like a great camera,great camera;great sounds,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,it is a fantastic camera can I ask what soda photography you do,fantastic camera;soda photography,235;PRESENT_X;CANON,0,235;PRESENT_X;CANON,0
30,1435218990,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,pretty much anything I like diversity I like taking pictures of different stuff so it sounds like a well-rounded camera that might suit my needs,well-rounded camera;different stuff;diversity;pictures;needs,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,yes it does actually sound that we have a lot of other cameras to perform at much lower price and still get a good picture but that I know when it says was it all with this total creative freedom would you like to talk about lenses the kind of lenses we carry that would go with this camera,total creative freedom;lower price;good picture;lenses;cameras;kind;camera,111;PRESENT_X;CANON,0,111;PRESENT_X;CANON,0
31,1435219025,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,I think I'll think a little bit more about this model first thank you for your help,little bit;model;help,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,before you go I have some information here to give you a few more details about the camera and some things we can read about that also there are some things from some of the competitors but you can maybe do some comparisons,competitors;comparisons;camera;things;information;details,184;PRESENT_X;CANON,0,184;PRESENT_X;CANON,0
32,1435219044,134,PROACTIVE,PRESENT_X,CANON,ADVANCED,NONE,NONE,CANON,NONE,NONE,CANON,helpful thank you,helpful thank,WAITING,NONE,NONE,NONE,CANON,CANON,SERVICE_COUNTER,SERVICE_COUNTER,thank you please have a good afternoon,good afternoon,27;PRESENT_X;CANON,0,27;PRESENT_X;CANON,0
33,1435219166,135,PROACTIVE,WAITING,NONE,NOVICE,DOOR,CANON,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
34,1435219174,135,PROACTIVE,WAITING,NONE,NOVICE,CANON,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,NONE,NO_KEYWORD,0;WAITING;NONE,0,0;WAITING;NONE,0
35,1435219179,135,PROACTIVE,PRESENT_X,NIKON,NOVICE,NONE,NONE,NIKON,SERVICE_COUNTER,NIKON,NIKON,excuse me,NO_KEYWORD,PRESENT_X,NIKON,NONE,NONE,NIKON,SERVICE_COUNTER,NIKON,NIKON,it's good afternoon how can I help,good afternoon,1;PRESENT_X;NIKON,0,1;PRESENT_X;NIKON,0
