,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
854,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
3742,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4354,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,*,1,,-
1926,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4344,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4784,NONE,PASSIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
932,NONE,PROACTIVE,FACE_TO_FACE;NONE,0;FACE_TO_FACE;NONE,-,1,,-
4605,NONE,PASSIVE,NONE;CANON,0;NONE;CANON,-,1,,-
3496,NONE,PASSIVE,NONE;CANON,0;NONE;CANON,*,1,,-
3100,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
2703,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,*,1,,-
1686,NONE,PROACTIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
4795,NONE,PASSIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
2055,NONE,PROACTIVE,NONE;NIKON,0;NONE;NIKON,-,1,,-
4101,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4848,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4909,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4794,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4031,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4677,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3522,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4814,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4238,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4237,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3541,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3099,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4492,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4899,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
3592,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4939,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4064,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,*,1,,-
4459,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4537,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
4570,NONE,PASSIVE,NONE;SONY,0;NONE;SONY,-,1,,-
2879,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3773,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1704,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3778,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4780,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3635,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2936,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4524,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3681,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3014,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3018,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
611,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4038,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
313,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
407,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4787,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3622,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3620,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4716,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2938,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3564,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3904,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3722,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3720,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
777,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3587,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3799,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3902,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4402,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3718,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3748,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2293,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
2372,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
582,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
1750,NONE,PROACTIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3751,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3752,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3746,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
4821,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
3623,NONE,PASSIVE,PRESENT_X;CANON,0;PRESENT_X;CANON,-,1,,-
