NEW_ID,CLUSTER_ID,TIMESTAMP,TRIAL,SPATIAL_STATE,STATE_TARGET,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEAKING,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,SHOPKEEPER_SPEAKING,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,CUSTOMER_ACTION,SHOPKEEPER_ACTION
-,0;WAITING;NONE,1.435218424E9,132,WAITING,NONE,DOOR,SONY,SONY,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218426E9,132,WAITING,NONE,NONE,NONE,SONY,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.435218438E9,132,WAITING,NONE,SONY,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;PRESENT_X;CANON,1.435218445E9,132,PRESENT_X,CANON,SONY,NIKON,NIKON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,SM,
-,0;PRESENT_X;CANON,1.435218446E9,132,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,
-,1;PRESENT_X;CANON,1.435218448E9,132,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,good afternoon how can I help today,good afternoon,,SSSM,
-,0;PRESENT_X;CANON,1.435218449E9,132,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,

-,0;PRESENT_X;CANON,1.435218455E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,hi the how many colors do you have for this model,colors;model,SILENCE,NONE,NO_KEYWORD,CS,,
-,149;PRESENT_X;CANON,1.435218462E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,this only comes in black dude what were you looking for in a camera,black dude;camera,,SS,

-,0;PRESENT_X;CANON,1.435218474E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,1 something that's light and attractive,light,SILENCE,NONE,NO_KEYWORD,CS,,
-,35;PRESENT_X;CANON,1.43521848E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,I see what sort of pictures do you like to take,sort;pictures,,SS,

-,0;PRESENT_X;CANON,1.435218489E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,04 family vacation for example so good lighting and loss of motion I guess,family vacation;good lighting;example;loss;motion,SILENCE,NONE,NO_KEYWORD,CS,,
-,212;PRESENT_X;CANON,1.4352185E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,your family likes to travel a lot,family,,SS,

-,0;PRESENT_X;CANON,1.435218506E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SPEAKING,do,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,,
-,49;PRESENT_X;CANON,1.435218508E9,132,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,we have a very lightweight camera that also looks very stylish and it has a lot of presets and its various views please come and have a look at this one here,lightweight camera;various views;presets;look,,SS,
-,0;PRESENT_X;NIKON,1.435218516E9,132,PRESENT_X,NIKON,NONE,NONE,CANON,CANON,NIKON,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,
-,0;PRESENT_X;NIKON,1.43521852E9,132,PRESENT_X,NIKON,CANON,NIKON,NIKON,CANON,NIKON,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,SM,
-,0;PRESENT_X;NIKON,1.435218521E9,132,PRESENT_X,NIKON,CANON,NIKON,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;PRESENT_X;NIKON,1.435218522E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,
-,2;PRESENT_X;NIKON,1.435218524E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,you might like to hold it,NO_KEYWORD,,SS,

-,0;PRESENT_X;NIKON,1.435218529E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,IC,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,,
-,90;PRESENT_X;NIKON,1.435218535E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,it's very lightweight and it has 18 preset mode so wherever you go you don't have to think too much about the exposure you can wear at the beach where the snow and you get a great picture every time,preset mode;great picture;exposure;snow;beach;time,,SS,

-,0;PRESENT_X;NIKON,1.435218552E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,that sounds great how much does this cost,cost,SILENCE,NONE,NO_KEYWORD,CS,,
-,107;PRESENT_X;NIKON,1.435218556E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,7060 $8 and it gets very high-resolution photographs to it's right value for the price,right value;photographs;price,,SS,

-,0;PRESENT_X;NIKON,1.435218567E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,how many megapixels,megapixels,SILENCE,NONE,NO_KEYWORD,CS,,
-,247;PRESENT_X;NIKON,1.435218569E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,20.1 megapixels,NO_KEYWORD,,SS,

-,0;PRESENT_X;NIKON,1.435218576E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,that's great thank you for your help,help,SILENCE,NONE,NO_KEYWORD,CS,,
-,14;PRESENT_X;NIKON,1.43521858E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,is there anything else I can help you with today,NO_KEYWORD,,SS,

-,0;PRESENT_X;NIKON,1.435218586E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SPEAKING,Tempe all thank you,Tempe,SILENCE,NONE,NO_KEYWORD,CS,,
-,6;PRESENT_X;NIKON,1.435218588E9,132,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,SPEAKING,thanks for your time please have a good afternoon,good afternoon;thanks;time,,SS,
-,0;NONE;NIKON,1.43521859E9,132,NONE,NIKON,NONE,NONE,NIKON,NIKON,MIDDLE,MIDDLE,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,


-,0;WAITING;NONE,1.435218646E9,133,WAITING,NONE,DOOR,CANON,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218647E9,133,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.435218652E9,133,WAITING,NONE,CANON,NIKON,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218655E9,133,WAITING,NONE,NONE,NONE,NIKON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,

-,0;WAITING;NONE,1.435218661E9,133,WAITING,NONE,NIKON,CANON,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CM,,
-,0;WAITING;NONE,1.435218662E9,133,WAITING,NONE,NONE,NONE,CANON,NONE,NONE,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,,
-,0;PRESENT_X;CANON,1.435218663E9,133,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,

-,0;PRESENT_X;CANON,1.435218664E9,133,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SPEAKING,excuse me,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,CS,SM,
-,1;PRESENT_X;CANON,1.435218665E9,133,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SPEAKING,good afternoon how can I help,good afternoon,,SSSM,
-,0;PRESENT_X;CANON,1.435218666E9,133,PRESENT_X,CANON,NONE,NONE,CANON,SERVICE_COUNTER,CANON,CANON,SILENCE,NONE,NO_KEYWORD,SILENCE,NONE,NO_KEYWORD,,SM,

