ACTION,TOPIC,UTTERANCE
C_ANYTHING_ELSE_AVAILABLE,,can you recommend another camera similar to this
C_ANYTHING_ELSE_AVAILABLE,,Do you have any other cameras
C_ANYTHING_ELSE_AVAILABLE,,do you have any other cameras
C_ANYTHING_ELSE_AVAILABLE,,do you have any other cameras like this
C_ANYTHING_ELSE_AVAILABLE,,do you have any other cameras that are in this kind
C_ANYTHING_ELSE_AVAILABLE,,do you have anything better than this
C_ANYTHING_ELSE_AVAILABLE,,Do you have other cameras that I could afford
C_ANYTHING_ELSE_AVAILABLE,,I see do you have any other options that you can show me
C_ANYTHING_ELSE_AVAILABLE,,maybe did you have a another camera you recommend
C_ANYTHING_ELSE_AVAILABLE,,oh I see that's very interesting do you have any other cameras that you can recommend me
C_ANYTHING_ELSE_AVAILABLE,,ok do you have any other cameras
C_ANYTHING_ELSE_AVAILABLE,,ok do you have any other cameras
C_ANYTHING_ELSE_AVAILABLE,,ok do you have any other cameras that can just look at
C_ANYTHING_ELSE_AVAILABLE,,okay do you have any other cameras I might be interested
C_ANYTHING_ELSE_AVAILABLE,,Okay let me think about it do you have a more is this the most stylish camera
C_ANYTHING_ELSE_AVAILABLE,,So this is the only model you have in your shop
C_ANYTHING_ELSE_AVAILABLE,,that's good that's okay I like it when do you have other models in this area
C_DECIDE_TO_BUY,,cool I think this is the one that I've been looking for
C_DECIDE_TO_BUY,,great I think I'll take one
C_DECIDE_TO_BUY,,I think this is ok but maybe I check another store out
C_DECIDE_TO_BUY,,I think this one I will fit great for me since I'm no advance you know camera through
C_DECIDE_TO_BUY,,I understand yeah I think this is the one I've been looking for my you know my trips and then I will you know
C_DECIDE_TO_BUY,,I want to go get this one
C_DECIDE_TO_BUY,,Lookout believe it I think I'll take this one
C_DECIDE_TO_BUY,,oh I think this is the camera I've been looking
C_DECIDE_TO_BUY,,oh yeah I think that's the one I'm looking for
C_DECIDE_TO_BUY,,okay but these are still too expensive so I think this is the right one for me this is the best one
C_DECIDE_TO_BUY,,okay I think I'll take that
C_DECIDE_TO_BUY,,okay I think I'll take that
C_DECIDE_TO_BUY,,okay that's great for me I'm looking for him with low noise this one should be this one should fit the bill I think
C_DECIDE_TO_BUY,,that's very convenient for me I think this is the one that I have been looking for
C_DECIDE_TO_BUY,,this is the camera that I've been looking for
C_DECIDE_TO_BUY,,well that's great I think I'll be back here after school so I see you tomorrow
C_DECIDE_TO_BUY,,wonderful I think this is the one I've been looking for
C_DECIDE_TO_BUY,,yeah yeah very much if I am I really like it so I think I'll start saving grace
C_ENTERS,,
C_EXAMINES_CAMERA,,
C_GOODBYE,,all the songs Hart Alright thanks for your help today
C_GOODBYE,,alright see you
C_GOODBYE,,alright thanks so much for your detail and I want to go out a bit and maybe I'll just have to go now so thanks so much have a good afternoon I'll see you
C_GOODBYE,,alright well thank you very much for your help today thank you
C_GOODBYE,,good afternoon to you too
C_GOODBYE,,hey how are you
C_GOODBYE,,how are you
C_GOODBYE,,I guess I'll come back later thank you
C_GOODBYE,,I think I'm set for now think that's what I think you can come back anytime thanks for telling have a good afternoon
C_GOODBYE,,I think the other one looks better maybe I'll come back later thank you
C_GOODBYE,,I was think about this and come back later
C_GOODBYE,,I'd like to buy this but I'll come back later
C_GOODBYE,,I'll be back later thank you
C_GOODBYE,,I'll see you later
C_GOODBYE,,I'll see you later
C_GOODBYE,,iPad camera sounds brilliant I'll be back for it later thank you
C_GOODBYE,,maybe I'll come back later thank you
C_GOODBYE,,maybe not you know I was just talking about it now anyway thanks so much I'll see you have good afternoon
C_GOODBYE,,MBA or get this later
C_GOODBYE,,no thank you for your help thank you have a good day
C_GOODBYE,,not bad I think I'll come back to this later
C_GOODBYE,,oh okay thank you very much have a good day
C_GOODBYE,,ok see you
C_GOODBYE,,okay see you soon
C_GOODBYE,,okay thank you for your help today
C_GOODBYE,,okay thank you have a good day
C_GOODBYE,,okay thank you have a good day
C_GOODBYE,,perfect okay I'll see you later on tonight then thank you
C_GOODBYE,,see you
C_GOODBYE,,see you have a great day
C_GOODBYE,,see you later
C_GOODBYE,,see you tomorrow
C_GOODBYE,,thank you for your help and have a great day
C_GOODBYE,,thank you for your help today
C_GOODBYE,,thank you have a good day
C_GOODBYE,,thank you have a great day
C_GOODBYE,,thank you I think that's it for today I'll maybe stop by tomorrow thank you for your help
C_GOODBYE,,thank you very much and I see you on Sunday
C_GOODBYE,,thank you very much and see you later
C_GOODBYE,,thank you very much for your assistance and have a great day
C_GOODBYE,,thank you very much for your assistance and have a great day
C_GOODBYE,,thank you very much for your help and have a great day
C_GOODBYE,,thank you very much for your help have a great day
C_GOODBYE,,thank you very much for your time I'll see you again hopefully
C_GOODBYE,,thank you very much hun I see you then tomorrow
C_GOODBYE,,thank you very much I really appreciate your help have a great day
C_GOODBYE,,thank you very much I really appreciate your help have a great day
C_GOODBYE,,thank you very much I'll look around and come back
C_GOODBYE,,thank you very much to be really helpful have a great day
C_GOODBYE,,thank you you too have a great day
C_GOODBYE,,thanks for your help today
C_GOODBYE,,thanks for your help today
C_GOODBYE,,thanks for your help today
C_GOODBYE,,thanks goodbye
C_GOODBYE,,thanks so much for your breath of it so I'll see you later
C_GOODBYE,,yeah alright see you
C_GOODBYE,,yeah I think so much but you know it may be outside later have a kind of busy today just just around come back later
C_GOODBYE,,you very much have a great day
C_GREETS,,can you help me please
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
C_GREETS,,excuse me
