"Utterance.ID","Timestamp","Trial.ID","Condition","Cluster.ID","Is.Representative","Is.Junk","Utterance","Cluster.Size","Intra.Complete","Intra.Average","Inter.Complete","Inter.Single","Inter.Average","Inter.Hausforff"
1,NA,NA,NA,0,0,1,"this sony is only <price> and has <autofocus_points> autofocus points .",3681,1,0.450088041473075,0,0,0,0
23,NA,NA,NA,0,0,1,"this is a sony that has <autofocus_points> autofocus points .",3681,1,0.450088041473075,0,0,0,0
26,NA,NA,NA,0,0,1,"it has an <sensor_size> .",3681,1,0.450088041473075,0,0,0,0
47,NA,NA,NA,0,0,1,"it 's a small <camera_type> camera that has <resolution> resolution and both <settings> .",3681,1,0.450088041473075,0,0,0,0
52,NA,NA,NA,0,0,1,"this is a fujifilm <camera_type> camera .",3681,1,0.450088041473075,0,0,0,0
56,NA,NA,NA,0,0,1,"with this one you can choose from <color> .",3681,1,0.450088041473075,0,0,0,0
68,NA,NA,NA,0,0,1,"this is a <camera_type> camera made by nikon .",3681,1,0.450088041473075,0,0,0,0
77,NA,NA,NA,0,0,1,"this is a sony <camera_type> camera .",3681,1,0.450088041473075,0,0,0,0
79,NA,NA,NA,0,0,1,"if you have any other questions just please call me",3681,1,0.450088041473075,0,0,0,0
93,NA,NA,NA,0,0,1,"the cost is <price> .",3681,1,0.450088041473075,0,0,0,0
104,NA,NA,NA,0,0,1,"this one can be bought in either <color> .",3681,1,0.450088041473075,0,0,0,0
110,NA,NA,NA,0,0,1,"any other questions",3681,1,0.450088041473075,0,0,0,0
113,NA,NA,NA,0,0,1,"the camera comes in two choices of colors <color> .",3681,1,0.450088041473075,0,0,0,0
125,NA,NA,NA,0,0,1,"this one comes with <autofocus_points> autofocus points .",3681,1,0.450088041473075,0,0,0,0
126,NA,NA,NA,0,0,1,"the color options for this camera are <color> .",3681,1,0.450088041473075,0,0,0,0
133,NA,NA,NA,0,0,1,"ok ask me if you need any more help",3681,1,0.450088041473075,0,0,0,0
