Utterance.ID,Timestamp,Trial.ID,Condition,Cluster.ID,IS_NEW_REPRESENTATIVE,Is.Representative,Is.Junk,Utterance,Cluster.Size,Intra.Complete,Intra.Average,Inter.Complete,Inter.Single,Inter.Average,Inter.Hausforff
1,NA,NA,NA,88,0,0,1,This Sony is only $350 and has 179 autofocus points.,2641,1,0.463772822027334,0,0,0,0
47,NA,NA,NA,127,0,0,1,It's a small digital camera that has 20 megapixels resolution and both manual and automatic settings.,2641,1,0.463772822027334,0,0,0,0
57,NA,NA,NA,26,0,0,1,The JX660 has limited manual settings.,2641,1,0.463772822027334,0,0,0,0
79,NA,NA,NA,80,0,0,1,if you have any other questions just please call me,2641,1,0.463772822027334,0,0,0,0
82,NA,NA,NA,41,0,0,1,You can set this camera's ISO up to 3200.,2641,1,0.463772822027334,0,0,0,0
93,NA,NA,NA,58,0,0,1,The cost is $155.,2641,1,0.463772822027334,0,0,0,0
110,NA,NA,NA,129,0,0,1,any other questions,2641,1,0.463772822027334,0,0,0,0
113,NA,NA,NA,42,0,0,1,"The camera comes in two choices of colors, black or white.",2641,1,0.463772822027334,0,0,0,0
133,NA,NA,NA,10,0,0,1,Ok ask me if you need any more help,2641,1,0.463772822027334,0,0,0,0
136,NA,NA,NA,92,0,0,1,Black or white are the two colors this camera comes in.,2641,1,0.463772822027334,0,0,0,0
139,NA,NA,NA,112,0,0,1,Both automatic and manual settings are available on this camera.,2641,1,0.463772822027334,0,0,0,0
150,NA,NA,NA,122,0,0,1,This camera can take unlimited expoure as long as it is in bulb mode.,2641,1,0.463772822027334,0,0,0,0
154,NA,NA,NA,123,0,0,1,okay thanks have a good sign if you have any questions please just ask okay thank you,2641,1,0.463772822027334,0,0,0,0
160,NA,NA,NA,53,0,0,1,The coolpix A900 has manual as well as automatic settings.,2641,1,0.463772822027334,0,0,0,0
179,NA,NA,NA,38,0,0,1,You can set this camera's ISO between 100 and 3200.,2641,1,0.463772822027334,0,0,0,0
181,NA,NA,NA,45,0,0,1,Yes it can do up to 8 seconds.,2641,1,0.463772822027334,0,0,0,0
183,NA,NA,NA,35,0,0,1,I don't think you should drop it,2641,1,0.463772822027334,0,0,0,0
201,NA,NA,NA,49,0,0,1,The exposures on this can go on forever in bulb mode.,2641,1,0.463772822027334,0,0,0,0
203,NA,NA,NA,31,0,0,1,This camera gives you both manual and automatic settings so you can always change the settings if you're unhappy with the camera's opinion.,2641,1,0.463772822027334,0,0,0,0
218,NA,NA,NA,54,0,0,1,The price for this particular camera is $350.,2641,1,0.463772822027334,0,0,0,0
220,NA,NA,NA,10,0,0,1,Ok ask me if you need any more help,2641,1,0.463772822027334,0,0,0,0
258,NA,NA,NA,121,0,0,1,so you have anymore questions just let me know,2641,1,0.463772822027334,0,0,0,0
269,NA,NA,NA,23,0,0,1,It features 1/2.3 inch CCD sensor.,2641,1,0.463772822027334,0,0,0,0
270,NA,NA,NA,81,0,0,1,"I'm not sure how many autofocus points this camera has, sorry.",2641,1,0.463772822027334,0,0,0,0
