"Utterance.ID","Timestamp","Trial.ID","Condition","Cluster.ID","Is.Representative","Is.Junk","Utterance","Cluster.Size","Intra.Complete","Intra.Average","Inter.Complete","Inter.Single","Inter.Average","Inter.Hausforff"
47,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it features 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
62,NA,NA,NA,0,0,1,"the <camera_name> is a great <camera_type> camera . it comes in two fun colors has lots of preset modes and effects a high resoltuion and good iso . the price is nice as well",699,34.4819,11.2837867631196,0,0,0,0
72,NA,NA,NA,0,0,1,"the <camera_name> is an <camera_type> camera that comes with 9 scenes modes and <effects>",699,34.4819,11.2837867631196,0,0,0,0
77,NA,NA,NA,0,0,1,"this sony weighs <weight> has 9 scene modes and is <price> .",699,34.4819,11.2837867631196,0,0,0,0
81,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
112,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that is available in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
123,NA,NA,NA,0,0,1,"the <camera_name> is a <camera_type> camera that comes in <color> . it features a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
148,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it has 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
188,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points you can expose as long as you want and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
226,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera is available in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
235,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
239,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it features 8 scene modes 23 picture effects manual and automatic <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
319,NA,NA,NA,0,0,1,"the <camera_name> is an <camera_type> camera with <effects> c sensor .",699,34.4819,11.2837867631196,0,0,0,0
373,NA,NA,NA,0,0,1,"the <camera_name> is a great choice for an <camera_type> camera . it has a number of preset and effects modes . it has a high resolution and a large number of autofocus points . it allows you to use <settings> and it 's sold for a great price .",699,34.4819,11.2837867631196,0,0,0,0
433,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it features 17 exposure mofes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
473,NA,NA,NA,0,0,1,"the <camera_name> is a nice <camera_type> camera . it has a lot of preset and effects modes . it has a high resolution and a nice optical zoom . best of all it features <settings> so you can always get that perfect shot . best of all it only costs <price>",699,34.4819,11.2837867631196,0,0,0,0
478,NA,NA,NA,0,0,1,"this sony alpha is <resolution> and is only <price> .",699,34.4819,11.2837867631196,0,0,0,0
559,NA,NA,NA,0,0,1,"this fuifilm <camera_name> is a <camera_type> camera that comes in <color> . it has 22 shoooting modes 12 advanced filters a <optical_zoom> optical zoom and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
592,NA,NA,NA,0,0,1,"this fujifilm is <price> and it 's iso goes <ISO> .",699,34.4819,11.2837867631196,0,0,0,0
665,NA,NA,NA,0,0,1,"the <camera_name> is a great choice for a <camera_type> camera . it comes with several prset modes high resolution a high optical zoom and both <settings>",699,34.4819,11.2837867631196,0,0,0,0
703,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that is available in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> focus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
716,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 17 exposure modes a 35 tmies optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
737,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it features 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
745,NA,NA,NA,0,0,1,"good afternoon one of our most popular cameras is this sony alpha 5100. it has 9 preset modes <effects> priced at <price> .",699,34.4819,11.2837867631196,0,0,0,0
767,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that is available in <color> . it features 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
856,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 22 shooting modes 12 advanced filters a <optical_zoom> soptical zoom and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
915,NA,NA,NA,0,0,1,"this fujifilm is a great starter camera at <price> and has some great features like <preset_modes>",699,34.4819,11.2837867631196,0,0,0,0
954,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that is available in <color> . it features 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
959,NA,NA,NA,0,0,1,"this camera is a <camera_type> and it comes with several different shooting modes and advanced filters . it is reasonably priced at <price> .",699,34.4819,11.2837867631196,0,0,0,0
982,NA,NA,NA,0,0,1,"this well priced camera has has 17 exposure modes <optical_zoom> optical zoom <autofocus_points> autofocus points and is a <camera_type> model .",699,34.4819,11.2837867631196,0,0,0,0
1023,NA,NA,NA,0,0,1,"the <camera_name> is an <camera_type> camera that has 9 scene modes and <effects>",699,34.4819,11.2837867631196,0,0,0,0
1058,NA,NA,NA,0,0,1,"the <camera_name> is a great <camera_type> camera . it has a lot of preset exposures modes . it has a high resolution and good optical zoom . it comes with both <settings> . it also has a lot of autofocus points . you get all of this for just <price>",699,34.4819,11.2837867631196,0,0,0,0
1087,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it has 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1094,NA,NA,NA,0,0,1,"the <camera_name> is a great choice for a simple <camera_type> camera it sets everything automatically has a bunch of filters and preset modes high resoltuion a good optical zoom and an unbeatable price",699,34.4819,11.2837867631196,0,0,0,0
1136,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 22 shooting modes 12 advanced filters a <optical_zoom> optical zoom an iso range from <ISO> and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1171,NA,NA,NA,0,0,1,"this nikon coolpix is only <price> and has <autofocus_points> autofocus points .",699,34.4819,11.2837867631196,0,0,0,0
1200,NA,NA,NA,0,0,1,"this camera is great the nikon coolpix is a <camera_type> camera that comes with <resolution> and has a cost of <price> .",699,34.4819,11.2837867631196,0,0,0,0
1266,NA,NA,NA,0,0,1,"this <camera_type> model is <price> and has iso <ISO> .",699,34.4819,11.2837867631196,0,0,0,0
1294,NA,NA,NA,0,0,1,"the <camera_name> is a portable <camera_type> camera that comes with 17 exposure modes and <autofocus_points> autofocus points .",699,34.4819,11.2837867631196,0,0,0,0
1336,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera is available in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points an iso range from <ISO> and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1393,NA,NA,NA,0,0,1,"well this one is <weight> costs <price> has great iso and lots of effects .",699,34.4819,11.2837867631196,0,0,0,0
1499,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it has 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1539,NA,NA,NA,0,0,1,"the <camera_name> is a great <camera_type> camera . it has a lot of preset modes high resolution and large optical zoom . i think you 'll love it",699,34.4819,11.2837867631196,0,0,0,0
1556,NA,NA,NA,0,0,1,"the <camera_name> is a great camera for you . it has an <camera_type> letting you select the perfect shot no matter what . it comes with several preset modes and effects . the resolution is great and it lets you set features in a manual mode as well . the price is great being neither too expensive nor too cheap .",699,34.4819,11.2837867631196,0,0,0,0
1572,NA,NA,NA,0,0,1,"the <camera_name> is a great <camera_type> camera . it 's easy to use has high resolution a good optical zoom both <settings> and 17 preset exposure modes . the price is good as well .",699,34.4819,11.2837867631196,0,0,0,0
1584,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it has 22 shooting modes 12 advanced filters a <optical_zoom> optical zoom an iso range from <ISO> and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1612,NA,NA,NA,0,0,1,"this <camera_name> is an <camera_type> camera that comes in <color> . it features 9 scene modes 23 picture effects both <settings> <autofocus_points> autofocus points an iso range from <ISO> and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1618,NA,NA,NA,0,0,1,"this is a <camera_type> camera with <optical_zoom> optical zoom and <resolution> resolution .",699,34.4819,11.2837867631196,0,0,0,0
1649,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that is available in <color> . it features 22 shooting modes 12 advanced filters a <optical_zoom> optical zoom and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1683,NA,NA,NA,0,0,1,"the <camera_name> is a <camera_type> camera that comes in <color> . it features 17 exposure modes a <optical_zoom> optical zoom both <settings> <autofocus_points> autofocus points and a <resolution> resolution all for <price> .",699,34.4819,11.2837867631196,0,0,0,0
1722,NA,NA,NA,0,0,1,"this <camera_name> is a <camera_type> camera that comes in <color> . it features 22 shooting modes 12 advanced filters a <optical_zoom> optical zoom and a <resolution> resolution all for <weight> .",699,34.4819,11.2837867631196,0,0,0,0
1761,NA,NA,NA,0,0,1,"the fujifulm finepix is a <camera_type> camera availeable in both <color> and has over <resolution> shooting modes .",699,34.4819,11.2837867631196,0,0,0,0
1786,NA,NA,NA,0,0,1,"this sony alpha has <resolution> and is <price> .",699,34.4819,11.2837867631196,0,0,0,0
